X,Y
940601.229259694,4857059.039775968
940601.229259694,4857059.039775968
955435.8712445123,4861482.103532341
955435.8712445123,4861482.103532341
955435.8712445123,4861482.103532341
955435.8712445123,4861482.103532341
955435.8712445123,4861482.103532341
955435.8712445123,4861482.103532341
932823.2595640639,4860688.595589312
932823.2595640639,4860688.595589312
932823.2595640639,4860688.595589312
932823.2595640639,4860688.595589312
932823.2595640639,4860688.595589312
932823.2595640639,4860688.595589312
932823.2595640639,4860688.595589312
932823.2595640639,4860688.595589312
932823.2595640639,4860688.595589312
932823.2595640639,4860688.595589312
932823.2595640639,4860688.595589312
932823.2595640639,4860688.595589312
932823.2595640639,4860688.595589312
920962.5474652017,4834767.874241839
960565.0237073766,4858043.455920306
966624.1569339802,4853333.918792118
966624.1569339802,4853333.918792118
956911.8608220377,4881437.798502254
956911.8608220377,4881437.798502254
920981.9431602153,4885958.731818463
920981.9431602153,4885958.731818463
920981.9431602153,4885958.731818463
920981.9431602153,4885958.731818463
920981.9431602153,4885958.731818463
927838.1260679726,4872931.037392071
936658.9360534474,4840896.506577703
936658.9360534474,4840896.506577703
936658.9360534474,4840896.506577703
936658.9360534474,4840896.506577703
936658.9360534474,4840896.506577703
936658.9360534474,4840896.506577703
951868.4260191313,4843276.903054287
968307.0252178352,4909916.113594983
1017383.6553673723,4783838.241849316
1028147.8050090197,4778854.036519505
1028147.8050090197,4778854.036519505
1028147.8050090197,4778854.036519505
1028147.8050090197,4778854.036519505
1028147.8050090197,4778854.036519505
1028147.8050090197,4778854.036519505
1028147.8050090197,4778854.036519505
1031058.1856496325,4777270.769795739
1002368.1037899997,4780825.189695446
1002368.1037899997,4780825.189695446
1002368.1037899997,4780825.189695446
1002368.1037899997,4780825.189695446
1002368.1037899997,4780825.189695446
1009052.1587025383,4780170.451514676
1023689.2349531791,4769324.251676001
1032133.576750116,4772956.264807166
1019670.2179712971,4793556.668605435
1000897.2497739552,4806976.724102249
1000897.2497739552,4806976.724102249
1000897.2497739552,4806976.724102249
1063995.0522873814,4802009.591924422
1063995.0522873814,4802009.591924422
1063995.0522873814,4802009.591924422
1063995.0522873814,4802009.591924422
1063995.0522873814,4802009.591924422
1063995.0522873814,4802009.591924422
1063995.0522873814,4802009.591924422
1063995.0522873814,4802009.591924422
1066332.3421906063,4811530.459047043
1088043.8811791218,4847300.874507295
1088043.8811791218,4847300.874507295
1088043.8811791218,4847300.874507295
1088043.8811791218,4847300.874507295
1090063.1612376957,4848280.712022334
1090063.1612376957,4848280.712022334
803229.3635764852,4935430.280517521
794610.3111852799,4926839.564122301
767166.2118695414,4888235.985409862
755833.5100402243,4915101.115932882
866904.1914589922,4896576.816008383
862666.8784493391,4897912.447762135
971453.9835097246,4866368.143947479
993833.7935941215,4870980.188386728
996577.1346153351,4862498.013099738
995279.7652361809,4865951.231929923
972110.9404608851,4871009.297877801
1000678.7564377398,4860486.575227492
990453.838923262,4863144.930852385
988946.7799616335,4869336.416096368
974311.665907872,4867917.755871566
1004626.0384238607,4859366.233678182
970222.3536135029,4871444.693442338
974984.8164271163,4866391.175033969
988027.893721882,4873583.557741009
995278.0650743719,4865952.4916755855
972108.0601066779,4867182.525731341
991453.0168898908,4873504.375276969
619462.1847201692,4753799.296063171
669075.1353582036,4811175.644532525
669075.1353582036,4811175.644532525
677402.7412364354,4810636.0560036255
651091.998671412,4792615.342028745
651091.998671412,4792615.342028745
659625.4411838792,4580858.753192373
572121.1976408582,4349526.297282619
1327759.0858213597,5333899.804878421
1327759.0858213597,5333899.804878421
1327759.0858213597,5333899.804878421
1276346.6011633982,5324131.346795605
1267797.814395219,5345738.415812745
1460223.876897331,5146044.55279712
1460223.876897331,5146044.55279712
1460223.876897331,5146044.55279712
1460223.876897331,5146044.55279712
1460223.876897331,5146044.55279712
1460223.876897331,5146044.55279712
1460223.876897331,5146044.55279712
1460223.876897331,5146044.55279712
1460223.876897331,5146044.55279712
1460223.876897331,5146044.55279712
1467229.243681972,5153238.045615974
1467229.243681972,5153238.045615974
1467229.243681972,5153238.045615974
1467229.243681972,5153238.045615974
1467229.243681972,5153238.045615974
1467229.243681972,5153238.045615974
1467229.243681972,5153238.045615974
1467229.243681972,5153238.045615974
1467229.243681972,5153238.045615974
1472711.1124199287,5176356.863433905
1472711.1124199287,5176356.863433905
1472711.1124199287,5176356.863433905
1472711.1124199287,5176356.863433905
1472711.1124199287,5176356.863433905
1472711.1124199287,5176356.863433905
1472711.1124199287,5176356.863433905
1472711.1124199287,5176356.863433905
1472711.1124199287,5176356.863433905
1472711.1124199287,5176356.863433905
1472711.1124199287,5176356.863433905
1472711.1124199287,5176356.863433905
1472711.1124199287,5176356.863433905
1472711.1124199287,5176356.863433905
1386728.1301186776,4826746.652644713
1378495.5033815645,4829302.755528459
1378495.5033815645,4829302.755528459
1378495.5033815645,4829302.755528459
1378495.5033815645,4829302.755528459
1378495.5033815645,4829302.755528459
1378495.5033815645,4829302.755528459
1397427.001778679,4844055.1393066095
1397427.001778679,4844055.1393066095
1397427.001778679,4844055.1393066095
1397427.001778679,4844055.1393066095
1397427.001778679,4844055.1393066095
1397427.001778679,4844055.1393066095
1397427.001778679,4844055.1393066095
1402526.8085186179,4845676.756882457
1352584.7690633715,4887180.772852421
1427437.4570904672,5052334.535042193
1427437.4570904672,5052334.535042193
1427437.4570904672,5052334.535042193
1427437.4570904672,5052334.535042193
1427437.4570904672,5052334.535042193
1427437.4570904672,5052334.535042193
1475942.8165090769,5211424.171530863
1475942.8165090769,5211424.171530863
1475942.8165090769,5211424.171530863
1475942.8165090769,5211424.171530863
1475942.8165090769,5211424.171530863
1475942.8165090769,5211424.171530863
1475942.8165090769,5211424.171530863
1475942.8165090769,5211424.171530863
1475942.8165090769,5211424.171530863
1475942.8165090769,5211424.171530863
1475942.8165090769,5211424.171530863
1475942.8165090769,5211424.171530863
1475942.8165090769,5211424.171530863
1475942.8165090769,5211424.171530863
1485625.2378732776,5245303.929842253
1482320.5580168334,5250886.017058792
1482320.5580168334,5250886.017058792
1498388.8593904802,5261362.965468981
1498388.8593904802,5261362.965468981
1491928.1624120413,5238790.277894034
1530792.363999478,5252053.107154471
1234998.0755332403,5086884.024780368
